ZIP,LAT,LNG,DIST,POPULATION,IMPACT,POP_DENSITY
27305,36.526805,-79.233755,294.2538789074569,1685,LOW,LOW
27306,35.225229,-79.980186,252.29923912344395,6176,LOW,LOW
27310,36.174072,-79.992233,309.853702369429,6710,LOW,LOW
27311,36.479651,-79.472563,302.5177859248917,3402,LOW,LOW
27312,35.756405,-79.209789,226.60028844437915,18306,MEDIUM,MEDIUM
27313,35.930899,-79.75824200000002,276.29716906310455,6962,LOW,LOW
27314,36.31036,-79.19625,272.6003947566175,1051,LOW,LOW
27315,36.51019,-79.403541,301.4901255432455,2243,LOW,LOW
27316,35.697013,-79.625793,250.7504894210271,6650,LOW,LOW
27317,35.840737,-79.802499,273.12393680403034,16959,LOW,MEDIUM
27320,36.341643,-79.657526,301.4366218860729,39351,LOW,HIGH
27325,35.463087,-79.584091,232.76527971668037,6704,MEDIUM,LOW
27326,36.464116,-79.556845,305.86718229188915,4008,LOW,LOW
27330,35.514408,-79.195453,207.6262372528507,37947,MEDIUM,HIGH
27332,35.384704,-79.137215,194.54336391722535,30236,MEDIUM,HIGH
27340,35.945873,-79.317167,248.4001112742104,120,MEDIUM,LOW
27341,35.52375900000001,-79.695909,244.92848003515917,5360,MEDIUM,LOW
27343,36.503728,-79.09147800000002,285.19384192859866,1716,LOW,LOW
27344,35.722265,-79.43369100000002,238.97211587356884,18022,MEDIUM,MEDIUM
27349,35.901313,-79.416062,251.16442597842035,5511,LOW,LOW
27350,35.808253,-79.88821300000002,277.1364516275982,6530,LOW,LOW
27355,35.79496599999999,-79.574007,253.8661303723058,2660,LOW,LOW
27356,35.43686500000001,-79.804272,248.35555890827004,3205,MEDIUM,LOW
27357,36.2666,-79.970625,315.2848525989252,7894,LOW,LOW
27358,36.228232,-79.880061,306.4351223694107,14075,LOW,MEDIUM
27360,35.86058,-80.099288,296.01883463040457,46084,LOW,HIGH
27370,35.80928,-79.978025,283.7895511757157,15052,LOW,MEDIUM
27371,35.406855,-79.968144,259.85274595288223,8132,LOW,LOW
27376,35.239166,-79.53506,216.38872306123002,9386,MEDIUM,LOW
27377,36.042675,-79.608729,274.55709517709965,7104,LOW,LOW
27379,36.374099,-79.334513,285.68249598953093,4661,LOW,LOW
27401,36.06914,-79.765159,286.855939379401,21932,LOW,MEDIUM
27403,36.065973,-79.824383,290.5927184503319,21958,LOW,MEDIUM
27405,36.114921,-79.73703,288.45067317037274,44567,LOW,HIGH
