population,minimum_age,maximum_age,gender,zipcode,geo_id
3409,,,,27970,8600000US27970
244,,,,27972,8600000US27972
1323,,,,27973,8600000US27973
1285,,,,27974,8600000US27974
3449,,,,27976,8600000US27976
225,,,,27978,8600000US27978
1719,,,,27979,8600000US27979
2182,,,,27980,8600000US27980
1643,,,,27981,8600000US27981
82,,,,27982,8600000US27982
10416,,,,27983,8600000US27983
283,,,,27985,8600000US27985
2430,,,,27986,8600000US27986
26760,,,,28001,8600000US28001
1130,,,,28006,8600000US28006
611,,,,28007,8600000US28007
1121,,,,28009,8600000US28009
20048,,,,28012,8600000US28012
13463,,,,28016,8600000US28016
695,,,,28017,8600000US28017
5562,,,,28018,8600000US28018
123,,,,28019,8600000US28019
2322,,,,28020,8600000US28020
13612,,,,28021,8600000US28021
14175,,,,28023,8600000US28023
49160,,,,28025,8600000US28025
55435,,,,28027,8600000US28027
24390,,,,28031,8600000US28031
3105,,,,28032,8600000US28032
2749,,,,28033,8600000US28033
16642,,,,28034,8600000US28034
14654,,,,28036,8600000US28036
18287,,,,28037,8600000US28037
116,,,,28039,8600000US28039
7969,,,,28040,8600000US28040
21055,,,,28043,8600000US28043
34932,,,,28052,8600000US28052
36270,,,,28054,8600000US28054
31418,,,,28056,8600000US28056
2802,,,,28071,8600000US28071
1357,,,,28072,8600000US28072
5621,,,,28073,8600000US28073
16143,,,,28075,8600000US28075
722,,,,28076,8600000US28076
482,,,,28077,8600000US28077
52133,,,,28078,8600000US28078
31979,,,,28079,8600000US28079
7299,,,,28080,8600000US28080
25190,,,,28081,8600000US28081
23820,,,,28083,8600000US28083
25895,,,,28086,8600000US28086
2862,,,,28088,8600000US28088
248,,,,28089,8600000US28089
8342,,,,28090,8600000US28090
2158,,,,28091,8600000US28091
38570,,,,28092,8600000US28092
5369,,,,28097,8600000US28097
3579,,,,28098,8600000US28098
698,,,,28101,8600000US28101
78,,,,28102,8600000US28102
10311,,,,28103,8600000US28103
28040,,,,28104,8600000US28104
39586,,,,28105,8600000US28105
6422,,,,28107,8600000US28107
54,,,,28108,8600000US28108
387,,,,28109,8600000US28109
50365,,,,28110,8600000US28110
26311,,,,28112,8600000US28112
7554,,,,28114,8600000US28114
34339,,,,28115,8600000US28115
35454,,,,28117,8600000US28117
2801,,,,28119,8600000US28119
19807,,,,28120,8600000US28120
6622,,,,28124,8600000US28124
2525,,,,28125,8600000US28125
7594,,,,28127,8600000US28127
7476,,,,28128,8600000US28128
5399,,,,28129,8600000US28129
2878,,,,28133,8600000US28133
9453,,,,28134,8600000US28134
6123,,,,28135,8600000US28135
3120,,,,28137,8600000US28137
10495,,,,28138,8600000US28138
20111,,,,28139,8600000US28139
24734,,,,28144,8600000US28144
27614,,,,28146,8600000US28146
24697,,,,28147,8600000US28147
28098,,,,28150,8600000US28150
24735,,,,28152,8600000US28152
3108,,,,28159,8600000US28159
3929,,,,28160,8600000US28160
5233,,,,28163,8600000US28163
14085,,,,28164,8600000US28164
8619,,,,28166,8600000US28166
2362,,,,28167,8600000US28167
10230,,,,28168,8600000US28168
173,,,,28169,8600000US28169
12355,,,,28170,8600000US28170
45097,,,,28173,8600000US28173
8608,,,,28174,8600000US28174
11195,,,,28202,8600000US28202
11315,,,,28203,8600000US28203
4796,,,,28204,8600000US28204
43931,,,,28205,8600000US28205
11898,,,,28206,8600000US28206
9280,,,,28207,8600000US28207
