LAT,LNG,population
36.036555,-80.940896,1712
35.732735,-81.57423,9295
36.267538,-81.808495,4067
36.471773,-81.559009,1700
36.366337,-81.468016,7744
36.134008,-81.165721,12930
36.340894,-81.736245,2256
35.705098,-82.636467,3635
35.405602,-83.605242,366
35.457584,-82.580359,18821
36.032692,-82.156238,6715
35.39733,-83.065872,94
35.271316,-82.86262,754
35.771599,-82.381832,2225
35.605271,-82.291854,13209
35.173309,-82.770828,19347
35.373495,-83.495989,8686
35.889455,-82.304119,16753
35.511966,-82.711701,24582
35.439331,-82.847944,17477
35.049462,-83.093365,1729
35.159172,-82.634935,553
35.517887,-83.334159,8048
35.450754,-82.253654,114
35.66267,-82.958496,10063
35.208461,-82.061011,6371
35.314207,-83.026128,11329
35.366645,-83.255082,43
35.280999,-82.416555,3203
35.320507,-82.600377,2894
35.517421,-82.378042,9133
35.288036,-82.394669,7778
35.451829,-82.445701,16491
35.429104,-83.815738,21
35.189081,-83.41226,27040
35.475901,-82.35048,256
35.175658,-83.086467,787
35.256111,-82.543709,19786
36.091216,-82.272966,1364
35.055919,-83.211171,3197
35.382641,-82.650687,2710
35.80036,-82.881145,2125
35.525282,-82.972046,551
35.477196,-82.161705,2388
35.155183,-82.922658,2198
35.649563,-82.757717,11334
35.840722,-82.098559,50
35.50502,-83.120689,2916
35.709599,-82.035573,30600
35.864078,-82.712731,11670
35.875581,-82.515681,7679
35.351924,-82.186268,4504
35.649746,-82.308567,280
35.381446,-82.58859,6922
35.68533,-81.91054,7816
35.62679,-82.231583,6857
35.028572,-83.466615,2725
35.251041,-82.619825,1262
35.324202,-82.706749,6813
35.34702,-83.842814,8558
35.116966,-82.827217,1239
35.265444,-82.3097,3378
35.093445,-82.994858,1013
35.021332,-83.321833,296
35.904431,-82.068534,10638
35.628881,-82.405472,10381
35.357002,-83.215933,16111
35.224056,-83.635479,939
35.23396,-82.147409,6584
35.262142,-83.010414,1593
35.653307,-83.139769,7338
35.462005,-82.989068,20714
35.741251,-82.515578,19718
35.407057,-83.316777,5097
35.20049,-82.524773,3205
35.356104,-82.508181,14171
35.383008,-82.369906,32689
35.594348,-82.557917,15019
35.531707,-82.523017,28693
35.648442,-82.563811,20507
35.633754,-82.48318,17620
35.571971,-82.614729,38550
35.198079,-83.810349,5354
35.022285,-83.959171,1373
35.06863,-83.733593,8533
35.163946,-83.940087,3129
35.100136,-84.138594,18475
35.001661,-83.904773,1030
33.786644,-80.174065,2148
33.241221,-81.023815,6989
33.869101,-81.551078,9565
34.4553,-80.376154,2440
34.223091,-80.27265,13491
34.523382,-81.114513,1891
34.437442,-81.330125,1738
34.20251,-80.997,16393
33.348797,-80.639176,3749
34.314345,-80.573719,22463
33.576312,-80.647573,1967
34.548096,-81.492609,1349
34.345114,-80.445025,4424
33.956189,-81.057488,11603
34.134004,-81.339914,19140
34.189935,-81.867694,824
33.372643,-80.981506,2445
33.422422,-80.915021,4215
34.068795,-80.440478,8767
33.297671,-81.158698,5868
33.92571,-80.695204,5652
34.185012,-80.806315,21871
34.102331,-80.153633,237
33.532723,-80.585802,3683
33.390561,-80.295284,4864
33.861626,-80.127828,951
33.79831,-80.741296,2021
33.827544,-81.090963,18830
33.941953,-81.383081,9612
34.574244,-80.914866,4337
33.608638,-80.005987,2448
34.554283,-80.749684,4746
33.33003,-80.418508,6068
33.897493,-80.850604,13717
34.004286,-80.605521,176
34.142131,-81.206184,32717
34.28514,-81.296583,677
34.544166,-80.537094,10949
34.180119,-80.094644,5020
33.916667,-81.449233,15330
34.001778,-81.27241,49566
33.888739,-81.238803,40775
34.441127,-80.818402,241
34.218134,-81.299071,2963
